pair	nsnps	mismatch	pmr
Lapa22 - Lapa25	21087	6550	0.3106179162517191
Lapa22 - AM66	4183	1339	0.32010518766435575
Lapa22 - AM71	11488	3751	0.32651462395543174
Lapa22 - AM73	3409	1096	0.32150190671751244
Lapa22 - AM74	18808	6212	0.330284985112718
Lapa22 - MA577	21835	7115	0.32585298832150217
Lapa22 - Yaghan890	15623	4930	0.31556039173014144
Lapa22 - Yaghan894	20560	6476	0.3149805447470817
Lapa22 - Yaghan895	20900	6551	0.313444976076555
Lapa22 - Anzick	22647	7628	0.33682165408221837
Lapa24 - Lapa25	22293	6892	0.30915534024133134
Lapa24 - AM66	5665	1854	0.32727272727272727
Lapa24 - AM71	13459	4197	0.31183594620699906
Lapa24 - AM73	4471	1401	0.31335271751286065
Lapa24 - AM74	20524	6787	0.3306860261157669
Lapa24 - MA577	23035	7292	0.31656175385283264
Lapa24 - Yaghan890	17128	5288	0.3087342363381597
Lapa24 - Yaghan894	21885	6860	0.31345670550605437
Lapa24 - Yaghan895	22155	7080	0.3195666892349357
Lapa24 - Anzick	23693	7739	0.3266365593213185
Lapa25 - AM66	4933	1595	0.3233326576120008
Lapa25 - AM71	12625	4048	0.32063366336633664
Lapa25 - AM73	3988	1225	0.3071715145436309
Lapa25 - AM74	19754	6491	0.3285916776349094
Lapa25 - MA577	22497	7078	0.3146197270747211
Lapa25 - Yaghan890	16473	5066	0.3075335397316821
Lapa25 - Yaghan894	21280	6702	0.3149436090225564
Lapa25 - Yaghan895	21631	6656	0.3077065322916185
Lapa25 - Anzick	23230	7592	0.3268187688334051
AM66 - AM71	1109	271	0.24436429215509467
AM66 - AM73	190	51	0.26842105263157895
AM66 - AM74	3741	980	0.2619620422346966
AM66 - MA577	6539	1939	0.29652852118060863
AM66 - Yaghan890	2501	709	0.28348660535785686
AM66 - Yaghan894	5125	1492	0.2911219512195122
AM66 - Yaghan895	5405	1565	0.2895467160037003
AM66 - Anzick	7677	2645	0.3445356258955321
AM71 - AM73	1089	283	0.2598714416896235
AM71 - AM74	10660	2646	0.24821763602251407
AM71 - MA577	14510	4217	0.29062715368711234
AM71 - Yaghan890	8947	2412	0.2695875712529339
AM71 - Yaghan894	13233	3748	0.28323131565026827
AM71 - Yaghan895	13753	3841	0.2792845197411474
AM71 - Anzick	15677	5235	0.3339286853352044
AM73 - AM74	2983	833	0.27924907810928595
AM73 - MA577	5116	1367	0.2672009382329945
AM73 - Yaghan890	2389	671	0.2808706571787359
AM73 - Yaghan894	4424	1235	0.27915913200723325
AM73 - Yaghan895	4673	1291	0.27626792210571366
AM73 - Anzick	5834	1900	0.32567706547823105
AM74 - MA577	21285	6342	0.2979563072586328
AM74 - Yaghan890	14692	4189	0.285121154369725
AM74 - Yaghan894	19857	5849	0.2945560759429924
AM74 - Yaghan895	20197	5867	0.29048868643858
AM74 - Anzick	22214	7545	0.33965067074817684
MA577 - Yaghan890	18037	5055	0.28025724898819093
MA577 - Yaghan894	22450	6388	0.284543429844098
MA577 - Yaghan895	22731	6470	0.2846333201354978
MA577 - Anzick	24207	8071	0.3334159540628744
Yaghan890 - Yaghan894	17320	4391	0.2535219399538106
Yaghan890 - Yaghan895	17758	4518	0.254420542853925
Yaghan890 - Anzick	18670	6048	0.3239421531869309
Yaghan894 - Yaghan895	21876	5795	0.2649021759005303
Yaghan894 - Anzick	23070	7544	0.3270047680970958
Yaghan895 - Anzick	23277	7571	0.3252566911543584
