pair	nsnps	mismatch	pmr
Lapa22 - MA577	23305	4916	0.2109418579703926
Lapa22 - Yaghan890	17868	3768	0.21087978509066488
Lapa22 - Yaghan894	22291	4662	0.2091427033331838
Lapa22 - Yaghan895	22530	4591	0.20377274744784732
Lapa22 - Anzick	23887	5197	0.2175660401054967
Lapa24 - Lapa25	23605	4789	0.20288074560474476
Lapa24 - AM66	7651	1622	0.21199843157757156
Lapa24 - AM71	15963	3279	0.20541251644427738
Lapa24 - AM73	6144	1265	0.20589192708333334
Lapa24 - AM74	22241	4724	0.2124005215592824
Lapa24 - MA577	24182	4987	0.20622777272351336
Lapa24 - Yaghan890	19304	3931	0.20363655200994613
Lapa24 - Yaghan894	23300	4838	0.20763948497854076
Lapa24 - Yaghan895	23536	4993	0.21214309993201905
Lapa24 - Anzick	24663	5260	0.21327494627579777
Lapa25 - AM66	6763	1440	0.2129232589087683
Lapa25 - AM71	15096	3185	0.2109830418653948
Lapa25 - AM73	5512	1114	0.2021044992743106
Lapa25 - AM74	21622	4697	0.21723244843215245
Lapa25 - MA577	23800	4836	0.20319327731092438
Lapa25 - Yaghan890	18661	3818	0.20459782433953164
Lapa25 - Yaghan894	22852	4666	0.20418344127428673
Lapa25 - Yaghan895	23107	4661	0.2017137663911369
Lapa25 - Anzick	24295	5233	0.21539411401522948
AM66 - AM71	1698	256	0.15076560659599528
AM66 - AM73	287	51	0.17770034843205576
AM66 - AM74	5297	898	0.1695299225976968
AM66 - MA577	8810	1669	0.1894438138479001
AM66 - Yaghan890	3529	647	0.18333805610654577
AM66 - Yaghan894	7046	1315	0.18663071246097077
AM66 - Yaghan895	7456	1355	0.18173283261802575
AM66 - Anzick	10194	2259	0.22160094173042966
AM71 - AM73	1567	275	0.17549457562220805
AM71 - AM74	13208	2100	0.15899454875832827
AM71 - MA577	17074	3164	0.18531099918003982
AM71 - Yaghan890	11164	1940	0.17377284127552847
AM71 - Yaghan894	15793	2911	0.1843221680491357
AM71 - Yaghan895	16299	2981	0.182894656113872
AM71 - Anzick	18138	3875	0.2136398720917411
AM73 - AM74	4224	777	0.18394886363636365
AM73 - MA577	6991	1201	0.1717923043913603
AM73 - Yaghan890	3411	645	0.18909410729991205
AM73 - Yaghan894	6070	1096	0.18056013179571664
AM73 - Yaghan895	6438	1168	0.1814228021124573
AM73 - Anzick	7859	1641	0.20880519150019086
AM74 - MA577	22944	4396	0.19159693165969316
AM74 - Yaghan890	17043	3119	0.18300768644018073
AM74 - Yaghan894	21753	4095	0.1882498965659909
AM74 - Yaghan895	22120	4091	0.18494575045207956
AM74 - Anzick	23642	5247	0.22193553844852382
MA577 - Yaghan890	20145	3626	0.17999503598907918
MA577 - Yaghan894	23769	4413	0.18566199671841474
MA577 - Yaghan895	23957	4384	0.18299453186959969
MA577 - Anzick	25035	5375	0.2146994208108648
Yaghan890 - Yaghan894	19474	3213	0.16498921639108555
Yaghan890 - Yaghan895	19841	3329	0.1677838818607933
Yaghan890 - Anzick	20690	4434	0.21430642822619622
Yaghan894 - Yaghan895	23339	3956	0.16950169244612023
Yaghan894 - Anzick	24203	5028	0.2077428417964715
Yaghan895 - Anzick	24351	5200	0.21354359163894707
