pop1,pop2,pop3,est,se,z,n
Mbuti,PERU_MedioHoloceno,BRASIL_TARDIO,0.092508733,0.000713193,129.7106243,868406
Mbuti,PERU_MedioHoloceno,ALASKA,0.081586301,0.000633379,128.8111533,872180
Mbuti,PERU_MedioHoloceno,BRASIL_TEMPRANO,0.088129693,0.000780354,112.935508,679827
Mbuti,PERU_MedioHoloceno,CUBA,0.092268971,0.000673777,136.9429246,862611
Mbuti,PERU_MedioHoloceno,CENTRO_PERU,0.095456065,0.000723631,131.9126653,805463
Mbuti,PERU_MedioHoloceno,NORTE_PERU,0.095404032,0.000728833,130.8997971,608799
Mbuti,PERU_MedioHoloceno,CALIFORNIA,0.090968154,0.000669224,135.9308353,877876
Mbuti,PERU_MedioHoloceno,PATAGONIA_TERRESTRE,0.092514104,0.000709803,130.3376896,857034
Mbuti,PERU_MedioHoloceno,PERU_TempranoHoloceno,0.093884566,0.000759717,123.5783927,813256
Mbuti,PERU_MedioHoloceno,SUR_PERU,0.09506898,0.000678957,140.0220153,822054
Mbuti,PERU_MedioHoloceno,PERICUES,0.089038855,0.000753136,118.2241555,366268
Mbuti,PERICUES,PATAGONIA_MARITIMO,0.088370771,0.000712559,124.0188953,447142
Mbuti,PERICUES,PUERTO_RICO,0.088037262,0.000643854,136.7347724,438089
Mbuti,PERICUES,BRASIL_TARDIO,0.088295788,0.000680045,129.8381449,436561
Mbuti,PERICUES,ALASKA,0.07936738,0.000639488,124.1108969,441207
Mbuti,PERICUES,BRASIL_TEMPRANO,0.084873747,0.000784707,108.1598319,350622
Mbuti,PERICUES,CUBA,0.088385593,0.000662725,133.3668957,429207
Mbuti,PERICUES,CENTRO_PERU,0.087818777,0.000763446,115.0294536,397078
Mbuti,PERICUES,NORTE_PERU,0.088665959,0.000749618,118.2814872,288681
Mbuti,PERICUES,CALIFORNIA,0.090492258,0.000673327,134.3958039,447797
Mbuti,PERICUES,PATAGONIA_TERRESTRE,0.088806971,0.000715105,124.1872951,426735
Mbuti,PERICUES,PERU_TempranoHoloceno,0.087628754,0.000727192,120.5029109,398890
Mbuti,PERICUES,SUR_PERU,0.088128908,0.000669617,131.6108978,395933
Mbuti,PERICUES,PERU_MedioHoloceno,0.089038855,0.000753136,118.2241555,366268
